Temperature (C),Humidity
19.98,68.58
43.03,42.74
34.28,60.81
28.95,59.4
11.24,92.07
11.24,86.16
7.32,91.64
39.65,51.03
29.04,69.01
33.32,63.93
5.82,94.69
43.8,50.27
38.3,52.98
13.49,86.52
12.27,83.58
12.34,85.21
17.17,78.02
25.99,66.53
22.28,69.82
16.65,82.36
29.47,71.18
10.58,93.16
16.69,73.69
19.65,82.86
23.24,70.52
36.41,59.32
12.99,79.88
25.57,70.03
28.7,67.13
6.86,84.35
29.3,67.88
11.82,92.54
7.6,90.0
42.96,55.25
43.63,46.7
37.34,59.44
17.18,68.29
8.91,100.0
32.37,68.63
22.61,71.45
9.88,78.28
24.81,71.67
6.38,85.13
41.37,52.58
15.35,83.64
31.5,57.49
17.47,84.64
25.8,73.06
26.87,72.64
12.39,85.17
43.78,40.38
36.01,61.68
42.58,47.55
40.79,44.1
28.92,72.06
41.87,60.25
8.54,89.55
12.84,95.39
6.81,92.29
18.01,76.48
20.55,72.19
15.85,89.16
38.15,50.32
19.27,80.55
16.24,77.72
26.71,65.65
10.64,92.39
37.09,53.59
7.98,88.4
44.48,52.29
35.89,64.92
12.95,87.69
5.22,90.46
37.62,52.3
33.27,60.47
34.16,60.61
35.85,52.04
7.96,94.06
19.34,77.22
9.63,79.86
39.52,47.93
29.93,61.56
18.24,77.75
7.54,100.0
17.44,80.26
18.01,74.19
34.18,60.08
30.5,61.64
40.49,53.04
23.89,74.24
9.78,94.31
33.53,59.64
35.43,65.68
27.45,71.6
35.84,53.46
24.75,81.35
25.91,70.54
22.1,69.3
6.02,100.0
9.32,99.21
6.26,92.33
30.46,60.93
17.57,78.05
25.34,73.16
41.3,56.83
14.97,84.89
21.42,74.81
35.22,65.22
14.15,81.45
8.08,95.46
16.59,78.65
11.45,88.42
42.19,48.81
37.32,54.93
30.34,61.71
39.86,58.89
37.15,51.76
12.46,81.34
40.7,61.76
26.57,73.0
37.3,43.32
40.84,48.16
17.72,69.68
9.4,83.96
14.12,67.37
22.08,72.81
37.72,49.03
39.43,52.98
5.28,85.54
25.43,69.9
21.7,71.89
13.88,90.85
9.79,95.3
18.5,81.72
42.72,47.11
17.93,88.41
25.75,61.33
33.12,53.24
19.55,76.13
43.87,58.62
43.5,46.79
15.07,81.0
24.89,62.92
17.04,84.29
16.39,85.09
6.48,96.17
29.38,61.59
25.11,66.34
7.06,85.06
16.15,81.04
41.33,45.0
14.58,76.61
10.8,84.93
24.58,68.06
44.43,44.0
14.68,84.71
31.89,62.13
35.46,56.0
14.51,83.51
34.13,54.09
19.71,76.87
30.29,64.4
30.34,56.08
26.43,73.26
8.61,85.26
38.41,54.36
17.83,84.42
12.46,89.68
6.63,92.21
28.64,63.82
32.1,66.21
5.66,96.58
25.48,66.33
14.06,79.15
30.81,52.67
11.97,86.4
32.64,60.42
20.47,81.12
42.47,50.83
10.5,94.07
18.64,74.14
9.54,94.24
41.99,46.97
40.09,55.78
15.32,74.33
31.4,63.5
37.69,44.85
27.21,66.01
26.19,70.78
14.67,79.79
8.72,84.28
40.89,55.16
41.02,50.26
30.32,61.16
18.56,77.94
18.97,90.42
34.04,64.92
40.88,56.75
40.48,53.6
